#{"t_start": 1739367158.000448, "env_id": "None"}
r,l,t
-15.691248,151,1.121845
-27.530422,254,1.886513
-29.62619,159,2.367519
-13.196027,151,2.825028
4.9822397e-21,151,3.285343
-30.786448,120,3.65099
3.4318797e-14,151,4.112219
-23.607155,150,4.567548
0.15014154,151,5.027381
0.08999058,151,5.487179
4.9973664e-28,151,5.947231
-18.117146,185,6.498057
-40.68066,151,8.396261
0.010663675,151,8.857951
9.88388e-40,151,9.329288
-26.255789,111,9.689867
-24.168608,217,10.40255
-34.425858,195,11.039642
-40.18468,129,11.462551
0.13475138,151,11.957696
-19.604681,158,12.471524
-40.989418,164,13.002365
2.2872882e-05,151,13.489559
1.1660413e-07,151,13.976841
-30.838968,126,14.386406
-23.059683,143,14.849637
0.0,301,17.194983
-7.3820534,151,17.661973
0.0014440798,151,18.152356
-5.1867476,151,18.646856
-18.306416,200,19.300503
9.262745e-35,151,19.791615
-26.303806,124,20.192621
-30.303974,151,20.688072
-24.164312,151,21.178585
0.0,151,21.666222
-18.420792,151,22.157472
-17.050098,151,22.654596
0.0,151,24.543792
-29.760885,106,24.871111
1.1812157e-10,151,25.33105
-32.005768,260,26.157626
-23.978575,150,26.648266
0.0,151,27.154172
0.0,151,27.64537
4.3534055e-05,151,28.134931
0.15801327,151,28.625324
-19.590021,176,29.192692
0.003566629,151,29.682251
0.00016288574,151,30.16934
-29.983604,231,30.916322
-26.884897,266,33.140959
-31.95248,123,33.518027
0.23474452,151,34.011431
-29.631813,250,34.825377
1.0274775e-27,151,35.321341
-18.409924,309,36.319569
-8.393087,151,36.806808
1.0502508e-25,151,37.297961
0.033970747,151,37.78606
-12.16532,151,38.275725
2.40841e-29,151,38.764895
0.008519327,151,40.639083
0.42815697,151,41.098815
0.0109292185,151,41.564767
-20.711378,156,42.045214
0.0001080713,151,42.537142
1.8026197e-08,151,43.032063
6.025531e-06,151,43.523987
-26.59324,167,44.060256
5.042086e-33,151,44.55023
-30.794289,235,45.315262
-10.535641,151,45.805987
0.00091701123,151,46.298932
2.5419757e-12,151,46.793621
-21.778526,195,48.80617
-26.331038,234,49.524109
2.7615464e-05,151,50.00022
1.8699303e-36,151,50.493766
-50.80116,151,50.987654
1.889079e-06,151,51.479267
-27.650265,139,51.933918
0.0041625835,151,52.426051
1.0523263e-16,151,52.917223
-33.04986,236,53.68545
0.51849055,151,54.176431
-32.198174,150,54.667
-19.538057,239,56.820923
9.952403e-25,151,57.280465
6.9e-44,151,57.737399
0.83899915,151,58.224145
-26.469954,176,58.795408
0.15773839,151,59.288175
9.843651e-10,151,59.777505
-1.0069398,151,60.268206
-6.3179636,151,60.756843
-30.912512,142,61.220368
0.37160447,151,61.708903
1.789287,151,62.202426
5.103283e-08,151,62.698164
-35.475033,235,64.849892
4.995945e-07,151,65.31481
-16.75389,151,65.808115
0.012038803,151,66.303914
1.3786769e-11,301,67.274009
-40.77496,294,68.227583
-27.570065,285,69.14444
1.5827121e-24,151,69.635738
4.65459e-05,151,70.126739
2.9477751e-05,151,70.615858
5.486017,151,72.542294
0.15429242,151,73.003951
-30.859016,207,73.651157
-24.352983,151,74.144779
0.00063959527,151,74.637576
-28.586004,197,75.272674
1.5272301e-10,151,75.765821
0.0,151,76.255936
6.869007e-15,151,76.743567
-23.124687,269,77.611172
0.0,151,78.099693
9.902319e-27,151,78.591151
1.3532526e-10,151,80.520704
0.013000188,151,80.985596
0.5555846,151,81.44872
0.0,151,81.921525
0.32757294,451,83.376137
-26.3517,141,83.834789
-24.097027,294,84.779807
2.3831295e-10,151,85.271545
-22.874493,151,85.763391
-35.300056,154,86.26593
0.0005188114,151,86.760258
1.9997467e-08,151,88.657682
-24.671492,404,89.879174
1.7015754,301,90.848813
2.4718912e-23,151,91.338575
0.339675,301,92.3132
7.283e-42,301,93.281739
1.875861,151,93.773726
0.0,151,94.264201
0.0,151,94.755643
1.891224e-05,151,96.654792
6.8726e-14,301,97.596821
5.159862,151,98.087426
0.0075780386,151,98.580103
1.4185565e-06,301,99.554833
4.435924e-21,301,100.525342
4.869758e-07,301,101.49809
0.24169594,151,101.991304
1.3421739e-24,301,104.375365
0.0034381528,151,104.838434
2.8181868,151,105.304246
2.649e-41,301,106.262035
1.3906321e-06,301,107.241441
0.7211817,151,107.733011
5.448335e-30,151,108.224362
8.6864875e-06,151,108.709303
9.963028e-08,151,109.197769
12.975017,451,110.649811
0.0,151,112.557127
3.4544014e-23,301,113.474839
0.0031585258,151,113.961836
0.3161703,151,114.45579
0.0,151,114.9482
1.1099592,151,115.444718
-30.216558,253,116.26502
3.063887e-14,151,116.758114
3.4110229e-16,151,117.251602
3.8692694,151,117.739047
3.312258e-08,151,118.231853
4.7589897e-11,151,118.72435
3.5101967,301,121.0794
0.00018603004,151,121.553706
0.78678125,151,122.0338
0.00096093136,151,122.525825
1.0925324e-05,151,123.022337
0.33178836,301,123.996177
0.06939649,151,124.490551
5.789013e-05,151,124.978098
4.339003e-39,151,125.469802
0.006697149,151,125.961336
1.948643e-13,151,126.456913
0.020536052,301,128.821279
0.0,151,129.280767
8.125359,151,129.759208
1.9232717,301,130.731198
0.0,151,131.219135
0.2940977,301,132.20092
1.1283166e-10,151,132.6902
2.9824e-41,301,133.657503
0.61319405,151,134.151389
6.673343e-36,301,136.521151
2.9715848e-05,151,136.978276
0.0012467983,151,137.444857
2.7424412,301,138.41582
0.24700245,301,139.384722
2.0773705e-25,151,139.876426
0.9447263,151,140.366216
0.00022081645,151,140.855457
0.27681088,451,142.306957
4.8866705e-10,151,142.799364
3.748264e-05,151,144.677777
0.03084297,151,145.139546
7.306659e-10,151,145.606637
3.6508973e-16,151,146.100652
5.939089e-05,151,146.593947
2.578787,151,147.085398
0.0,151,147.579471
0.09626068,451,149.029084
0.28789112,151,149.517146
0.025842397,151,150.005024
0.4985192,451,152.837517
6.899734e-22,301,153.771944
1.056587,301,154.739998
0.022078615,151,155.228003
8.4083805,151,155.720514
1.382268e-37,151,156.213289
2.009086,301,157.179327
5.6366567e-23,151,157.668715
0.065056376,151,158.160597
2.3448785e-10,151,158.654743
0.14010523,151,160.549223
1.1669014e-08,151,161.011025
0.0013041748,151,161.476576
0.010770752,151,161.963005
0.0092555955,151,162.457427
0.045571245,301,163.433253
3.1562246e-05,151,163.927555
4.1280375,151,164.413139
4.352095e-33,151,164.89861
2.0450208,151,165.384133
1e-45,151,165.876372
0.072373696,151,166.366533
3.4678635e-07,301,168.724347
8.3511525e-16,151,169.191519
0.043615695,151,169.686929
0.0,151,170.179768
0.0,151,170.674161
3.1169178e-10,151,171.165642
0.0009569798,151,171.658211
0.032140844,151,172.152506
0.0,151,172.638638
0.0004654662,151,173.127583
5.746857e-29,151,173.620141
0.0,151,174.111263
8.0531775e-35,151,174.608116
5.582695e-07,151,176.494372
1.1500953e-05,151,176.954031
0.02909602,151,177.413891
11.441779,301,178.37151
4.4397904e-08,151,178.862805
0.00016868922,301,179.84138
0.0,151,180.329448
2.0015023e-27,151,180.815497
0.25581032,301,181.790382
9.849329e-05,151,182.279322
0.0025132599,151,184.184663
0.17543738,151,184.651626
6.91698e-05,151,185.109217
3.5165806,151,185.590961
0.071041286,151,186.084993
0.025219787,151,186.580398
1.1366917e-18,151,187.073152
0.001183667,151,187.568427
1.9218074e-10,151,188.058765
0.00060247694,151,188.550936
4.23207e-26,151,189.043237
0.0,301,190.011254
0.005106254,451,192.832504
0.0117343115,151,193.296726
9.26e-43,301,194.256852
0.010032784,151,194.750609
1.206137,151,195.243782
15.944987,301,196.211433
0.0,151,196.696255
2.226127e-31,151,197.181869
0.049058165,301,198.152356
0.31488946,151,198.638873
6.4934975e-05,151,200.517931
0.089387305,151,200.978428
0.0034968194,151,201.440015
7.1565677e-07,151,201.917707
2.8472115e-07,301,202.888502
0.8374757,151,203.378657
0.04388852,151,203.870303
5.63887e-11,151,204.357002
0.010348611,151,204.841741
0.0,301,205.814168
0.8311654,151,206.306521
0.0137682585,151,208.226897
1.3945775e-37,151,208.685561
0.0018649459,151,209.150214
0.013313399,151,209.639089
0.011146897,301,210.613217
0.007039076,151,211.101331
0.02511981,451,212.547875
0.02840806,301,213.516304
0.0011060784,151,214.003519
0.0,151,214.493206
3.2650045e-05,151,216.373066
4.437368,151,216.837224
1.5004621e-09,151,217.297232
0.91392714,151,217.788864
3.963143e-09,151,218.284188
0.019812396,301,219.259965
3.9492606e-19,301,220.22872
0.17152198,151,220.716821
3.1539125,151,221.205622
8e-45,301,222.177045
0.017786613,151,224.082186
5.5924635,451,225.448712
0.013545839,151,225.93697
1.2105702,151,226.433111
0.96815985,151,226.920202
0.004942245,151,227.41385
0.0,151,227.906265
0.0024815337,151,228.393785
2.5e-44,151,228.886145
0.0021402612,151,229.376783
0.0058857156,151,229.869605
0.0,151,230.362553
0.2661883,301,232.689853
0.00017435434,151,233.14326
0.025057513,151,233.62644
0.108167574,151,234.115204
9.295987e-10,301,235.073908
0.035277385,151,235.557798
1.8493263e-06,151,236.044769
4.8852376e-12,301,237.001897
0.056825284,301,237.953616
0.0,151,239.849559
0.0,151,240.301405
-70.90083,196,240.889854
0.0,151,241.348086
0.0,301,242.306368
0.0053660255,301,243.270603
0.5143951,151,243.76276
3.198279e-13,301,244.714121
0.122721925,151,245.194141
0.80196625,151,245.681205
0.0,151,246.169152
2.8867472e-10,301,248.500426
0.0,151,248.97122
0.0,151,249.462631
0.46168387,151,249.950295
-0.07788236,151,250.439885
0.4644827,151,250.928171
0.0,151,251.422529
0.0026884216,151,251.910127
1.1243334e-06,151,252.393583
1.5930366e-09,151,252.875968
4.308738e-34,151,253.361617
4.680993,301,255.748416
0.18170722,151,256.209613
5.499345e-15,151,256.680627
1.3521307,151,257.160613
0.0,151,257.654831
-54.369873,225,258.382478
6.0843745e-13,151,258.876758
1.1857927,151,259.366793
2.1935752e-05,151,259.857428
2.2321192e-05,151,260.345974
3.1010943e-18,151,260.838192
0.08552021,151,261.3302
0.007783959,301,263.719945
8.23611,301,264.64276
2.15637e-40,151,265.117019
2.4207146e-25,151,265.61119
0.0,151,266.111277
0.007786486,151,266.602549
0.73432755,151,267.093005
1.93494e-06,151,267.582139
2.1621082e-23,151,268.072345
4.0430716e-25,151,268.562194
0.004737671,151,269.049061
8.8829375e-07,151,269.542166
0.058535222,151,270.035975
0.72744423,151,271.919863
0.0011496063,301,272.834628
7.994481e-05,151,273.326994
1.6386837,151,273.825977
0.71580374,151,274.318618
3.5444197e-07,151,274.819531
9.45805e-18,151,275.322791
3.359877,301,276.284884
0.00017459608,151,276.781532
2.6047037,301,277.74651
-27.5242,213,279.859264
0.0,151,280.321665
0.0024969857,301,281.257908
0.036046565,301,282.231832
0.0,301,283.212802
0.0,151,283.699718
0.040186442,151,284.186135
0.6869058,151,284.673799
0.0,151,285.164654
1.440876,301,286.149545
0.04578739,151,288.05309
3.5299763e-05,151,288.516015
9.356904e-07,151,288.983732
6.644e-42,151,289.472579
0.0,151,289.969944
5.1174766e-06,151,290.465744
3.0085373,151,290.961967
0.5194817,151,291.468389
8.892135e-37,151,292.005246
9.307208e-24,151,292.536934
0.65497214,151,293.062286
0.0,301,294.101446
1.8216753e-29,151,296.402251
3.0427623,301,297.472536
1.6639276e-12,151,298.019888
0.0,151,298.54903
3.3943667e-11,151,299.078833
0.023253458,151,299.652287
2.5662544,151,300.226849
2.7754548,301,301.317561
0.08336788,151,301.894128
0.0,151,302.435071
0.0,151,302.977455
3.0039842,151,303.539011
7.7719925e-08,301,306.319936
1.4646485,301,307.381185
2.0770238e-31,151,307.900813
4.2980233e-25,151,308.435009
0.00049851066,151,308.922379
1.3847301e-10,301,309.883814
0.28846475,151,310.365499
0.4488955,301,311.324258
2.5921274e-05,151,311.80799
0.067403175,151,313.687419
3.9466248,301,314.592137
0.08601822,151,315.048398
0.0,151,315.531365
0.43646938,151,316.023402
3.7236261,301,316.983903
0.1156194,301,317.953442
0.0059985784,151,318.438182
-59.36326,220,319.142308
3.1886242e-20,151,319.628118
